"","deplete","cost"
"403",0.015,36.5390455638018
"404",0.011,20.9617376194159
"405",0.01,18.0177444301536
"406",0.007,15.1433483861349
"407",0.005,12.7385009817133
"408",0.01,20.2127127455649
"409",0.013,36.8311324512675
"410",0.02,5.1225348044086
"411",0.013,22.2900197154785
"412",0.015,31.4198121440995
"413",0.017,68.4308432718378
"414",0.016,37.717650024888
"415",0.009,16.9821261227105
"416",0.011,20.7144848349451
"417",0.014,37.6683818117579
"418",0.019,11.6894596685222
"419",0.013,26.9305147423862
"420",0.008,18.1901776428018
"421",0.006,13.1560136301105
"422",0.01,20.1282842813603
"423",0.009,24.4015702845203
"424",0.013,29.9135811128512
"425",0.012,25.041225293752
"426",0.012,23.9754627486163
"427",0.006,12.2565270931548
"428",0.006,14.0864799107025
"429",0.005,12.0102085189586
"430",0.009,18.685570099617
"431",0.014,20.2916186329746
"432",0.01,22.0470243690832
"433",0.008,17.0527781769742
"434",0.006,13.7855997478417
"435",0.009,18.5910350295736
"436",0.009,24.4265029915911
"437",0.013,35.2436933605882
"438",0.016,44.3872532967433
"439",0.021,4.11953969883436
"440",0.012,27.7425169448262
"441",0.009,19.6231743396528
"442",0.006,12.8422278892017
"443",0.012,25.3748681438639
"444",0.014,31.7068876111937
"445",0.013,32.3932366634869
"446",0.016,67.9475854518933
"447",0.008,18.1456856895348
"448",0.014,33.7077332933994
"449",0.007,18.6801165673033
"450",0.01,18.6159485216722
"451",0.012,26.428607292974
"452",0.014,33.5360703196329
"453",0.015,22.3913936090756
"454",0.016,40.9469541800339
"455",0.014,45.2848752092048
"456",0.017,13.6826995736234
"457",0.015,38.7398905795916
"458",0.018,20.7650882847133
"459",0.012,24.8054001751146
"460",0.016,50.4694597348898
"461",0.016,47.115749611097
"462",0.018,85.7988724685086
"463",0.018,35.0220956659221
"464",0.019,50.9184865198728
"465",0.014,36.7434889248891
"466",0.012,28.4995793869654
"467",0.016,44.6434808227641
"468",0.016,38.879921715819
"469",0.013,32.3503722167635
"470",0.018,9.1114297878041
"471",0.017,26.9877891292425
"472",0.017,8.053383076107
"473",0.02,6.6774847960911
"474",0.018,69.7203771127841
"475",0.017,56.4010937626105
"476",0.018,59.3535357055664
"477",0.012,27.3247822626534
"478",0.005,14.3351945873244
"479",0.014,34.3544457381321
"480",0.013,33.0848424857789
"481",0.013,28.5663249689143
"482",0.018,48.5958301550347
"483",0.014,22.0809986064077
"484",0.019,7.3454615357852
"485",0.014,37.7499310324325
"486",0.017,15.2820121254677
"487",0.018,18.4552726374521
"488",0.017,55.3475880137714
"489",0.012,34.8728528811626
"490",0.012,24.6323947285439
"491",0.015,44.7742172871937
"492",0.02,5.61154454388785
"493",0.019,4.847408060915
"494",0.014,30.5691508397461
"495",0.013,34.2277824370538
"496",0.013,35.281074606652
"497",0.013,26.686147441613
"498",0.008,16.1286484727095
"499",0.016,44.437181783746
"500",0.014,31.679657039756
"501",0.018,29.1258393284568
"502",0.007,15.7862809715728
"503",0.009,17.856371829978
"504",0.013,26.439798048586
"505",0.012,26.5421605219506
"506",0.013,30.9116015478469
"507",0.015,25.6482363367043
"508",0.018,61.660284102494
"509",0.014,43.395623812259
"510",0.013,46.9503604276288
"511",0.013,37.3736480924727
"512",0.012,26.6452754581525
"513",0.014,41.4065218820174
"514",0.017,58.8212834644946
"515",0.01,21.8178916219222
"516",0.006,16.3568124752561
"517",0.007,13.6370775182894
"518",0.011,27.8735085709297
"519",0.011,29.1952254299702
"520",0.011,28.4960285616205
"521",0.008,17.2790767853165
"522",0.01,23.2671936468332
"523",0.011,22.2217069233931
"524",0.01,20.764356799532
"525",0.006,12.4349757049296
"526",0.007,17.6737883082961
"527",0.012,26.4216601271529
"528",0.013,32.1841935931118
"529",0.013,38.4524682940082
"530",0.013,35.1526961488334
"531",0.012,29.4274707811643
"532",0.008,17.5952890419029
"533",0.006,14.3457127727072
"534",0.007,21.1415809632372
"535",0.011,34.2134805148102
"536",0.009,19.961105646888
"537",0.012,31.3400784108402
"538",0.013,36.9171719733062
"539",0.014,8.00855372957084
"540",0.015,61.2120136684261
"541",0.012,36.9475433893724
"542",0.012,24.8993343338519
"543",0.01,23.6877259812638
"544",0.016,26.8205495875415
"545",0.013,35.0125653163105
"546",0.017,11.7616443762096
"547",0.014,10.4783463154892
"548",0.016,12.6031054453178
"549",0.012,27.3608873889844
"550",0.009,19.7021385728337
"551",0.011,23.1763446905529
"552",0.011,21.9198203039048
