"","scale","cost"
"249",481,13.1402899761444
"250",478,53.834479763656
"251",447,53.1929953235922
"252",465,20.0940044301697
"253",468,21.7020128406869
"254",498,38.6039915794199
"255",507,24.0047969735784
"256",509,21.8723738333261
"257",499,23.9063065295611
"258",476,29.6483771489386
"259",487,34.9221577434999
"260",478,50.1806739423585
"261",488,36.4445791755891
"262",489,29.0692568616595
"263",501,27.7195891804267
"264",492,36.3586628021154
"265",481,41.2013505009323
"266",490,14.5873181267284
"267",460,49.833894534511
"268",460,29.005977631901
"269",446,36.3512456827816
"270",455,15.3441450364261
"271",445,20.6875613919669
"272",430,23.3224649550575
"273",429,14.7669842310941
"274",403,16.3761204620335
"275",387,23.7488575503724
"276",360,17.220755692693
"277",370,24.0151846220862
"278",365,38.3486895708543
"279",360,84.3432885956388
"280",368,52.3028522561444
"281",355,25.8547303453191
"282",348,26.1894962463124
"283",352,21.3596265773458
"284",362,14.657753523125
"285",375,54.1758961840579
"286",405,37.2102298978095
"287",403,43.7098240096437
"288",412,47.911322725104
"289",405,21.7505351658434
"290",412,31.7350405771872
"291",375,44.9531945027173
"292",372,43.2744811775642
"293",400,44.5438506744562
"294",420,45.0630981677672
"295",426,43.0366040824384
"296",451,28.1414017911325
"297",429,20.0499898632556
"298",431,20.9995761572685
"299",420,26.4404405014544
"300",414,65.9677169458499
"301",410,52.1702103649036
"302",379,7.77596549863061
"303",410,8.5185120618947
"304",426,31.0018301442747
"305",427,21.313190524429
"306",421,11.0447536304314
"307",413,15.986377495934
"308",419,15.9821048776429
"309",435,21.5475784713653
"310",436,19.1961613577352
"311",438,20.5626920584386
"312",418,39.3220719024666
"313",417,21.7100225150216
"314",401,17.8300354631354
"315",417,17.2080498644943
"316",407,26.1759040071843
"317",403,13.7561368149799
"318",389,59.11376414101
"319",392,44.8174347030057
"320",411,15.1097894251427
"321",446,18.9834530606136
"322",456,24.971141961582
"323",448,28.9200743481296
"324",450,31.6166216975889
"325",437,37.9169611542297
"326",427,31.751363609487
"327",434,25.2214528114468
"328",464,24.5241679964331
"329",451,41.626816420867
"330",474,10.6608041639734
"331",460,40.9934407501512
"332",470,28.6116999614816
"333",472,25.9433558553479
"334",475,30.3025104122852
"335",484,17.0946701431219
"336",494,35.9062037394166
"337",510,33.0183448221364
"338",478,37.1584244244215
"339",491,19.9749498026823
"340",474,15.8120276992003
"341",485,14.110490067981
"342",501,26.1947262228663
"343",499,29.4843038611199
"344",494,12.4850722033663
"345",487,8.81855867619358
"346",466,23.5436411509467
"347",466,55.7693353116738
"348",481,38.7327099063028
"349",467,25.1753910507662
"350",452,40.5068181923952
"351",453,24.8961713079602
"352",441,41.4553860282204
"353",459,13.4526666538252
"354",477,17.0732879227637
"355",487,5.76103036432733
"356",473,27.4154139528379
"357",472,16.010712564765
"358",490,14.0633639338079
"359",515,18.5091103918629
"360",505,18.0808624841814
"361",516,23.6464374363152
"362",526,26.0236375812641
"363",523,21.1267031979657
"364",526,52.1646818306566
"365",510,50.3117637337725
"366",530,47.273060864357
"367",537,46.7358210816284
"368",549,36.893528998612
"369",543,35.2686722599154
"370",564,28.9465443728594
"371",580,37.3888405298579
"372",605,32.7149763239165
"373",610,49.4472814425981
"374",601,8.59915135626301
"375",608,23.3724754535569
"376",609,28.1689728152863
"377",613,25.6245402991486
"378",607,27.053113244514
"379",607,33.2742677443991
"380",624,33.4621736042746
"381",639,43.1162895772903
"382",614,31.2856412752383
"383",608,8.20846141432277
"384",616,37.636991869237
"385",618,9.71328665248421
"386",618,39.95598601063
"387",597,11.4815703537488
"388",579,7.13082863740003
"389",578,2.12881637160835
"390",563,1.41558092825729
"391",560,4.47923042216669
"392",567,3.34358778770384
"393",575,7.28951034357655
"394",575,48.4961903446265
"395",583,26.0148962680185
"396",567,15.6849039139181
"397",581,20.3945521729479
"398",581,15.0832566965043
"399",587,16.4710945294327
"400",581,14.8698110049491
"401",567,31.5649140442887
"402",570,20.3563704500304
"403",565,36.5390455638018
"404",545,20.9617376194159
"405",580,18.0177444301536
"406",567,15.1433483861349
"407",570,12.7385009817133
"408",580,20.2127127455649
"409",575,36.8311324512675
"410",564,5.1225348044086
"411",577,22.2900197154785
"412",594,31.4198121440995
"413",615,68.4308432718378
"414",591,37.717650024888
"415",593,16.9821261227105
"416",580,20.7144848349451
"417",555,37.6683818117579
"418",554,11.6894596685222
"419",566,26.9305147423862
"420",555,18.1901776428018
"421",551,13.1560136301105
"422",545,20.1282842813603
"423",550,24.4015702845203
"424",548,29.9135811128512
"425",532,25.041225293752
"426",529,23.9754627486163
"427",509,12.2565270931548
"428",514,14.0864799107025
"429",501,12.0102085189586
"430",501,18.685570099617
"431",490,20.2916186329746
"432",488,22.0470243690832
"433",457,17.0527781769742
"434",465,13.7855997478417
"435",478,18.5910350295736
"436",473,24.4265029915911
"437",460,35.2436933605882
"438",464,44.3872532967433
"439",468,4.11953969883436
"440",453,27.7425169448262
"441",448,19.6231743396528
"442",441,12.8422278892017
"443",436,25.3748681438639
"444",409,31.7068876111937
"445",391,32.3932366634869
"446",390,67.9475854518933
"447",386,18.1456856895348
"448",394,33.7077332933994
"449",398,18.6801165673033
"450",402,18.6159485216722
"451",405,26.428607292974
"452",434,33.5360703196329
"453",417,22.3913936090756
"454",416,40.9469541800339
"455",419,45.2848752092048
"456",441,13.6826995736234
"457",447,38.7398905795916
"458",447,20.7650882847133
"459",444,24.8054001751146
"460",421,50.4694597348898
"461",423,47.115749611097
"462",419,85.7988724685086
"463",432,35.0220956659221
"464",458,50.9184865198728
"465",459,36.7434889248891
"466",447,28.4995793869654
"467",441,44.6434808227641
"468",450,38.879921715819
"469",441,32.3503722167635
"470",457,9.1114297878041
"471",484,26.9877891292425
"472",475,8.053383076107
"473",475,6.6774847960911
"474",459,69.7203771127841
"475",437,56.4010937626105
"476",470,59.3535357055664
"477",447,27.3247822626534
"478",435,14.3351945873244
"479",451,34.3544457381321
"480",444,33.0848424857789
"481",430,28.5663249689143
"482",405,48.5958301550347
"483",402,22.0809986064077
"484",383,7.3454615357852
"485",404,37.7499310324325
"486",403,15.2820121254677
"487",371,18.4552726374521
"488",380,55.3475880137714
"489",387,34.8728528811626
"490",387,24.6323947285439
"491",373,44.7742172871937
"492",345,5.61154454388785
"493",363,4.847408060915
"494",367,30.5691508397461
"495",360,34.2277824370538
"496",351,35.281074606652
"497",365,26.686147441613
"498",378,16.1286484727095
"499",351,44.437181783746
"500",326,31.679657039756
"501",339,29.1258393284568
"502",312,15.7862809715728
"503",292,17.856371829978
"504",303,26.439798048586
"505",297,26.5421605219506
"506",308,30.9116015478469
"507",295,25.6482363367043
"508",294,61.660284102494
"509",299,43.395623812259
"510",272,46.9503604276288
"511",248,37.3736480924727
"512",261,26.6452754581525
"513",267,41.4065218820174
"514",253,58.8212834644946
"515",265,21.8178916219222
"516",250,16.3568124752561
"517",267,13.6370775182894
"518",288,27.8735085709297
"519",297,29.1952254299702
"520",297,28.4960285616205
"521",285,17.2790767853165
"522",277,23.2671936468332
"523",288,22.2217069233931
"524",256,20.764356799532
"525",230,12.4349757049296
"526",232,17.6737883082961
"527",252,26.4216601271529
"528",217,32.1841935931118
"529",203,38.4524682940082
"530",205,35.1526961488334
"531",181,29.4274707811643
"532",177,17.5952890419029
"533",172,14.3457127727072
"534",177,21.1415809632372
"535",192,34.2134805148102
"536",187,19.961105646888
"537",186,31.3400784108402
"538",174,36.9171719733062
"539",137,8.00855372957084
"540",130,61.2120136684261
"541",127,36.9475433893724
"542",97,24.8993343338519
"543",108,23.6877259812638
"544",109,26.8205495875415
"545",112,35.0125653163105
"546",101,11.7616443762096
"547",107,10.4783463154892
"548",116,12.6031054453178
"549",113,27.3608873889844
"550",97,19.7021385728337
"551",109,23.1763446905529
"552",108,21.9198203039048
"553",73,53.9628158869888
"554",91,22.9907476706342
"555",120,17.563574540776
"556",109,17.612288514675
"557",123,16.9114029579694
"558",123,30.0100707067349
"559",109,29.7228761266738
"560",91,52.9105501802241
"561",94,32.5965420627721
"562",54,19.2750325374436
"563",64,55.2216093094715
"564",72,118.01400735023
"565",82,23.4862404594929
"566",93,143.528607281946
"567",83,109.270148669216
"568",81,104.032894271275
"569",89,59.9925334098644
"570",99,42.8235173492278
"571",113,84.2333819416903
"572",96,60.504043215215
"573",75,60.3944238632713
"574",87,19.4574085802875
"575",73,19.9635128362702
"576",80,17.6631471316106
"577",53,12.3182600037293
"578",39,15.0048818949236
"579",59,14.0291573186272
"580",61,20.38457563665
"581",71,60.7288249131192
"582",71,47.7009260106064
"583",62,112.331504059649
"584",75,197.439797432168
"585",71,164.191922055123
"586",57,113.231646292673
"587",45,0.824848167127963
"588",35,2.1720249810334
"589",25,13.6146099974285
"590",53,51.0581816050508
"591",77,78.7968954522123
"592",73,92.5882699059494
"593",61,114.66427884217
"594",51,100.70696355158
"595",72,104.463366170939
"596",83,17.3587893010766
"597",100,12.8091704252186
"598",93,9.4766400995728
"599",65,142.32170813261
"600",58,71.5743836466411
"601",63,172.478597766045
"602",73,30.5200982613113
"603",74,70.5527254182071
"604",71,39.6246902257804
"605",68,22.7373367440237
"606",61,123.33904677401
"607",48,15.446718526007
"608",58,55.8686075013673
"609",65,10.9294917155305
"610",48,28.5617042063264
"611",71,17.5590550296289
"612",59,22.1789508617227
"613",46,7.87214166382522
"614",49,108.077575347018
"615",48,96.9083442291999
"616",52,39.6113704651185
"617",49,153.73498595816
"618",43,25.1918662380814
"619",61,22.3139638739864
"620",41,44.3929823621971
"621",28,106.84957250269
"622",41,82.9918265731964
"623",48,155.597740171152
"624",51,83.3117619083403
"625",43,61.395599734105
"626",45,41.6335476939278
"627",36,111.6737409268
"628",48,116.860420356021
"629",47,116.299893821109
"630",72,13.6313635837315
"631",76,49.2322340115615
"632",76,74.366684547777
"633",64,69.5564518354565
"634",67,150.288868648466
"635",60,73.5277087712297
"636",81,32.5313685911063
"637",65,37.8790296533211
"638",83,29.3415146961186
"639",87,25.8502559595626
"640",84,14.4239826463528
"641",110,23.1161479913402
"642",138,75.2061602717153
"643",121,95.6624601450412
"644",125,61.3950950859752
"645",101,181.650783407034
"646",104,137.091662960322
"647",85,203.131748611764
"648",78,33.6973037129273
"649",83,19.5923170512239
"650",100,9.93849002661252
"651",102,104.842480135343
"652",96,110.751168862937
"653",83,25.5755801356112
"654",85,60.9141193662771
"655",100,105.563715092283
"656",115,49.2679585908167
"657",103,46.2953433974942
"658",76,31.3843061917483
"659",76,25.5771257826258
"660",43,21.6129753380706
"661",53,6.38578822970028
"662",47,2.67063411773039
"663",59,0.922784056300788
"664",70,0.598272096838695
"665",85,1.10224429942568
"666",100,15.4365972181747
"667",107,25.9040612985111
"668",121,3.4770774029624
"669",104,50.1043157417732
"670",109,25.1046865622174
"671",89,3.36117266254544
"672",96,10.8407987188717
"673",100,9.11411600996705
"674",106,105.777232009324
"675",114,99.2288582593159
"676",96,17.69912564582
"677",78,18.0719962213455
"678",91,14.6681193755363
"679",112,102.410985635601
"680",134,68.1344934844004
"681",150,43.7371258452395
"682",135,56.4958515233006
"683",157,97.8934310984488
"684",182,22.6087582466872
"685",134,27.9527061939622
"686",135,41.2588184270902
"687",149,66.69164997308
"688",157,33.7707603294967
"689",174,26.6792721761457
"690",182,17.3843792739146
"691",173,27.2118571017373
"692",201,28.8795775538451
"693",202,11.1327834953072
"694",188,16.0772918726151
"695",181,17.7491633652894
"696",175,13.8627561889205
"697",182,16.1248384753868
"698",171,15.365755908622
"699",176,83.8159252990565
"700",190,69.4129837947946
"701",212,64.6749160564908
"702",198,65.7864082896549
"703",210,30.2406549101608
"704",183,17.295207455919
"705",163,29.4207841868247
"706",157,41.2855720046544
"707",158,79.0877189918119
"708",145,84.4777275656077
"709",141,127.123073538186
"710",149,62.9759194256526
"711",147,176.473766064834
"712",144,40.2497586907126
"713",176,38.2952537191816
"714",179,27.3099446141206
"715",170,137.831612631494
"716",202,150.233053212784
"717",211,103.459667820991
"718",224,212.431638789364
"719",232,55.5963270288138
"720",218,86.8220211725945
"721",227,56.6279466685938
"722",243,116.90045669426
"723",220,160.221040837362
"724",255,125.052777214898
"725",221,20.0721287922227
"726",250,15.1348679191189
"727",261,19.9617592664641
"728",233,83.5445984939824
"729",257,24.8896197533874
"730",220,24.903192717946
"731",200,23.8146207018116
"732",209,17.9212330765149
"733",231,161.717624792321
"734",249,115.358146693877
"735",227,27.3065006094506
"736",208,25.9303134132928
"737",220,29.1384412810833
"738",198,20.2855140504654
"739",183,45.7357701169157
"740",194,15.2440541161379
"741",237,56.5610422934085
"742",237,35.9461425887772
"743",260,79.6646710094595
"744",267,16.8839922462611
"745",276,14.6158121813885
"746",279,14.6489953752124
"747",301,16.0868327139106
"748",291,18.5451471831578
"749",297,22.1102766482995
"750",289,21.790635959163
"751",301,20.343104696245
"752",339,19.4268586657787
"753",341,30.5918946791144
"754",334,61.058640281332
"755",346,77.4369407892189
"756",319,26.8125416390317
"757",328,76.7380263053109
"758",306,64.1471237627326
"759",308,45.4478746585728
"760",300,32.764565901241
"761",329,23.0476998981196
"762",321,38.0747481871526
"763",355,22.8213138505923
"764",353,7.49414856064209
"765",333,108.370248332597
"766",343,31.7418560697754
"767",373,102.187019630203
"768",355,39.2113360137223
"769",368,31.2324907126384
